journal
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY OF LONDON. SERIES B: BIOLOGICAL SCIENCES
ARCTIC AND ALPINE RESEARCH
CHOICE REVIEWS ONLINE
COLONIAL WATERBIRDS
CONTRIBUTIONS FROM THE GRAY HERBARIUM OF HARVARD UNIVERSITY
ESTUARIES
JOURNAL OF TRAVEL RESEARCH
ORNITHOLOGICAL MONOGRAPHS
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B: BIOLOGICAL SCIENCES
PSYCHE: A JOURNAL OF ENTOMOLOGY
TRANSACTIONS OF THE KANSAS ACADEMY OF SCIENCE (1903-)
ACTA OECOLOGICA
DEEP SEA RESEARCH PART II: TOPICAL STUDIES IN OCEANOGRAPHY
JOURNAL OF URBAN HEALTH: BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE
JOURNAL OF THE ARNOLD ARBORETUM.
MARINE FISHERIES REVIEW
RANGIFER
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY
ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH
FOREST & CONSERVATION HISTORY
ILLINOIS NATURAL HISTORY SURVEY BULLETIN
MEMOIRS OF THE ENTOMOLOGICAL SOCIETY OF CANADA
GREAT BASIN NATURALIST.
JOURNAL OF RESEARCH ON THE LEPIDOPTERA
VEGETATIO
BMC EVOLUTIONARY BIOLOGY
BEARS: THEIR BIOLOGY AND MANAGEMENT
BIODIVERSITY
CAHIERS DE GÉOGRAPHIE DU QUÉBEC
JAPANESE JOURNAL OF HERPETOLOGY
NAMMCO SCIENTIFIC PUBLICATIONS
PROCEEDINGS OF THE ZOOLOGICAL SOCIETY OF LONDON
CANADIAN GEOGRAPHER/LE GÉOGRAPHE CANADIEN
AMERICAN ENTOMOLOGIST
"ARCTIC, ANTARCTIC, AND ALPINE RESEARCH"
CANADIAN JOURNAL OF RESEARCH
JOURNAL OF COASTAL RESEARCH
JOURNAL OF THE KENTUCKY ACADEMY OF SCIENCE
PHYTOLOGIA.
REVIEWS IN FISHERIES SCIENCE
VERTIGO
ACTA THERIOLOGICA
CONTRIBUTIONS TO CANADIAN BIOLOGY AND FISHERIES
HUMAN ECOLOGY
HUMAN AND ECOLOGICAL RISK ASSESSMENT: AN INTERNATIONAL JOURNAL
JAWRA JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION
JOURNAL OF ECOSYSTEMS AND MANAGEMENT
JOURNAL OF ENVIRONMENT QUALITY
ORNIS SCANDINAVICA
"PALAEOGEOGRAPHY, PALAEOCLIMATOLOGY, PALAEOECOLOGY"
PROCEEDINGS OF THE NOVA SCOTIAN INSTITUTE OF SCIENCE (NSIS)
ZOOLOGICA : SCIENTIFIC CONTRIBUTIONS OF THE NEW YORK ZOOLOGICAL SOCIETY.
ACTA HORTICULTURAE
ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS
APPLIED HERPETOLOGY
BEE WORLD
CANADIAN JOURNAL OF GENETICS AND CYTOLOGY
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY PART C: TOXICOLOGY & PHARMACOLOGY
CONSERVATION ECOLOGY
DIVERSITY
EXPERIENTIA
GENETICAL RESEARCH
GEOGRAPHICAL REVIEW
INTERNATIONAL JOURNAL FOR PARASITOLOGY: PARASITES AND WILDLIFE
MEMOIRS OF THE CARNEGIE MUSEUM
MYCOLOGICAL RESEARCH
SARSIA
JOURNAL OF PROTOZOOLOGY
AMERICAN ANTIQUITY
BMC ECOLOGY
"ENVIRONMENTAL POLLUTION SERIES A, ECOLOGICAL AND BIOLOGICAL"
JOURNAL OF EXPERIMENTAL ZOOLOGY PART A: ECOLOGICAL GENETICS AND PHYSIOLOGY
MARINE POLICY
OPHELIA
"PERSPECTIVES IN PLANT ECOLOGY, EVOLUTION AND SYSTEMATICS"
"RECORDS OF THE WESTERN AUSTRALIAN MUSEUM, SUPPLEMENT"
"SIL PROCEEDINGS, 1922-2010"
SCIENCE EDUCATION
ZEITSCHRIFT FÜR TIERPSYCHOLOGIE
ACTA BOTANICA NEERLANDICA
APPLIED GEOGRAPHY
CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS/REVUE CANADIENNE D'AGROECONOMIE
CHECK LIST
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY PART A: MOLECULAR & INTEGRATIVE PHYSIOLOGY
DEEP SEA RESEARCH PART I: OCEANOGRAPHIC RESEARCH PAPERS
"ESTUARINE, COASTAL AND SHELF SCIENCE"
FRESHWATER MOLLUSK BIOLOGY AND CONSERVATION
HARVARD PAPERS IN BOTANY
MADROÑO
MAINE NATURALIST
MISSOURI BOTANICAL GARDEN ANNUAL REPORT
NATURWISSENSCHAFTEN
NETHERLANDS JOURNAL OF SEA RESEARCH
PROCEEDINGS OF THE AMERICAN ACADEMY OF ARTS AND SCIENCES
JOURNAL OF ISLAND AND COASTAL ARCHAEOLOGY
ALISO
ANIMAL MIGRATION
ANNUAL REVIEW OF FISH DISEASES
ARBORICULTURE &AMP; URBAN FORESTRY
ARCHIV FÜR HYDROBIOLOGIE
ARCTIC ANTHROPOLOGY
ARCTOA
AUSTRALIAN JOURNAL OF ECOLOGY
BOTANICA ACTA
"BRAIN, BEHAVIOR AND EVOLUTION"
CANADIAN JOURNAL OF PUBLIC HEALTH
CHESAPEAKE SCIENCE
"CRYPTOGAMIE, BRYOLOGIE"
EMU - AUSTRAL ORNITHOLOGY
ENVIRONMENTAL GEOLOGY
ENVIRONMENTAL IMPACT ASSESSMENT REVIEW
GLOBAL ENVIRONMENTAL CHANGE
GREAT PLAINS RESEARCH
JOURNAL OF COMPARATIVE PHYSIOLOGY A
JOURNAL OF MARINE RESEARCH
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH
JOURNAL OF THE AMERICAN VETERINARY MEDICAL ASSOCIATION
JOURNAL OF THE BIOLOGICAL BOARD OF CANADA
NAFO SCIENTIFIC COUNCIL STUDIES
NATIVE PLANTS JOURNAL
"PLANT, CELL AND ENVIRONMENT"
PROCEEDINGS OF THE COLONIAL WATERBIRD GROUP
PROCEEDINGS OF THE VERTEBRATE PEST CONFERENCE
RECHERCHE EN SOINS INFIRMIERS
RINGING & MIGRATION
SMITHSONIAN CONTRIBUTIONS TO ZOOLOGY
SOUTH AFRICAN JOURNAL OF MARINE SCIENCE
SYSTEMATIC BOTANY MONOGRAPHS
ANATOMICAL RECORD
OPEN FISH SCIENCE JOURNAL
WESTERN JOURNAL OF APPLIED FORESTRY
AMERICAN ANTHROPOLOGIST
ANNALS AND MAGAZINE OF NATURAL HISTORY
ANNALS OF THE LYCEUM OF NATURAL HISTORY OF NEW YORK
ANTHROPOLOGICA
AQUATIC BIOSYSTEMS
AUSTRALIAN JOURNAL OF ENTOMOLOGY
BIOACOUSTICS
BIOLOGY
BOLLETINO DI ZOOLOGIA
BULLETIN FRANÇAIS DE LA PÊCHE ET DE LA PISCICULTURE
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY PART B: COMPARATIVE BIOCHEMISTRY
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY PART D: GENOMICS AND PROTEOMICS
DÉVELOPPEMENT DURABLE ET TERRITOIRES
EDIS
EL HORNERO
ENTOMOPHAGA
ESTUARINE AND COASTAL MARINE SCIENCE
FEDDES REPERTORIUM
FOLIA GEOBOTANICA ET PHYTOTAXONOMICA
GEOGRAFISK TIDSSKRIFT-DANISH JOURNAL OF GEOGRAPHY
"HSTC BULLETIN: JOURNAL OF THE HISTORY OF CANADIAN SCIENCE, TECHNOLOGY AND MEDECINE"
HELGOLÄNDER MEERESUNTERSUCHUNGEN
HYDROLOGY
"INFECTION, GENETICS AND EVOLUTION"
INTERNATIONAL JOURNAL OF ENVIRONMENTAL STUDIES
INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY
INTERNATIONAL JOURNAL OF SYSTEMATIC BACTERIOLOGY
INTERNATIONAL ZOO YEARBOOK
JAPANESE JOURNAL OF ICHTHYOLOGY
JAPANESE JOURNAL OF LIMNOLOGY (RIKUSUIGAKU ZASSHI)
JOURNAL OF CELLULAR AND COMPARATIVE PHYSIOLOGY
JOURNAL OF COMPARATIVE NEUROLOGY AND PSYCHOLOGY
JOURNAL OF ENVIRONMENTAL MONITORING
JOURNAL OF ORTHOPTERA RESEARCH
"JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH, PART A"
JOURNAL OF VETERINARY MEDICINE SERIES A
JOURNAL OF THE AMERICAN PHARMACEUTICAL ASSOCIATION (SCIENTIFIC ED.)
"JOURNAL OF THE LINNEAN SOCIETY OF LONDON, ZOOLOGY"
"LA TERRE ET LA VIE, REVUE D'HISTOIRE NATURELLE"
MARINE BIODIVERSITY RECORDS
MEMOIRS OF THE AMERICAN ACADEMY OF ARTS AND SCIENCES
MYCOTAXON
NATURE CONSERVATION
NOVON: A JOURNAL FOR BOTANICAL NOMENCLATURE
PLAINS ANTHROPOLOGIST
PLANT HEALTH PROGRESS
POLAR GEOGRAPHY
PROGRESS IN PHYSICAL GEOGRAPHY
PSYCHONOMIC SCIENCE
RESPIRATION PHYSIOLOGY
REVUE SCIENTIFIQUE ET TECHNIQUE DE L'OIE
SEPM JOURNAL OF SEDIMENTARY RESEARCH
SMITHSONIAN HERPETOLOGICAL INFORMATION SERVICE
TERRESTRIAL ARTHROPOD REVIEWS
JOURNAL OF MYCOLOGY
OPEN ENTOMOLOGY JOURNAL
OPEN MARINE BIOLOGY JOURNAL
TOXICOLOGICAL & ENVIRONMENTAL CHEMISTRY
TRANSACTIONS OF THE ASAE
TRANSACTIONS OF THE AMERICAN MICROSCOPICAL SOCIETY
TRANSACTIONS OF THE AMERICAN PHILOSOPHICAL SOCIETY
URBAN ECOLOGY
YAKUGAKU ZASSHI
ÉTUDES/INUIT/STUDIES
AGE
AIBS BULLETIN
ACOUSTICS RESEARCH LETTERS ONLINE
ACTA BOTANICA GALLICA
ACTA CRYSTALLOGRAPHICA SECTION C CRYSTAL STRUCTURE COMMUNICATIONS
ACTA PHYSIOLOGICA SCANDINAVICA
ALBERTA LAW REVIEW
AMERICAN JOURNAL OF ALTERNATIVE AGRICULTURE
AMERICAN JOURNAL OF PHYSIOLOGY-LEGACY CONTENT
AMERICAN REVIEW OF CANADIAN STUDIES
ANNALEN DES NATURHISTORISCHEN MUSEUMS IN WIEN.
ANNALES DE LA SOCIÉTÉ ENTOMOLOGIQUE DE FRANCE (N.S.)
ANNALS OF EUGENICS
ANNUAL REVIEW OF PLANT PHYSIOLOGY AND PLANT MOLECULAR BIOLOGY
ANTHROPOCENE COASTS
APPLIED SPATIAL ANALYSIS AND POLICY
AQUA-BIOSCIENCE MONOGRAPHS
ARQUIVOS DE ZOOLOGIA
ASTER
AUSTRALIAN JOURNAL OF AGRICULTURAL RESEARCH
AUSTRALIAN JOURNAL OF EXPERIMENTAL AGRICULTURE
BIOS
BMC GENETICS
BIJDRAGEN TOT DE DIERKUNDE
BIOCHIMICA ET BIOPHYSICA ACTA (BBA) - GENERAL SUBJECTS
BIOLOGICAL REVIEWS OF THE CAMBRIDGE PHILOSOPHICAL SOCIETY
BIRD BEHAVIOR
BOTANICA LITHUANICA
BRUNONIA
BRYOPHYTE DIVERSITY AND EVOLUTION
BULLETIN D'HISTOIRE POLITIQUE
BULLETIN DE LA SOCIÉTÉ BOTANIQUE DE FRANCE
BULLETIN DU JARDIN BOTANIQUE NATIONAL DE BELGIQUE / BULLETIN VAN DE NATIONAL PLANTENTUIN VAN BELGIË
"BULLETIN OF MISCELLANEOUS INFORMATION (ROYAL GARDENS, KEW)"
BULLETIN OF THE AMERICAN GEOGRAPHICAL SOCIETY
BULLETIN OF THE ENTOMOLOGICAL SOCIETY OF AMERICA
BULLETIN OF THE WILDLIFE DISEASE ASSOCIATION
"BULLETIN, SOUTHERN CALIFORNIA ACADEMY OF SCIENCES"
CISM JOURNAL
CANADIAN JOURNAL OF POLITICAL SCIENCE
CANADIAN PUBLIC POLICY
CARYOLOGIA
CLEAN ENERGY
CLIMATE POLICY
COLD SPRING HARBOR SYMPOSIA ON QUANTITATIVE BIOLOGY
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY PART C: COMPARATIVE PHARMACOLOGY
"COMPARATIVE IMMUNOLOGY, MICROBIOLOGY AND INFECTIOUS DISEASES"
CONTRIBUTIONS IN SCIENCE
"CULTURE, AGRICULTURE, FOOD AND ENVIRONMENT"
CURATOR: THE MUSEUM JOURNAL
CURRENT ISSUES IN TOURISM
CYTOMETRY
DANCE RESEARCH JOURNAL
DEEP SEA RESEARCH PART B. OCEANOGRAPHIC LITERATURE REVIEW
DEEP SEA RESEARCH AND OCEANOGRAPHIC ABSTRACTS
DER ZOOLOGISCHE GARTEN
DEVELOPMENTAL & COMPARATIVE IMMUNOLOGY
DOCUMENTATION ET BIBLIOTHÈQUES
EDITORS' BULLETIN
ELECTRONIC GREEN JOURNAL
ENTOMOLOGICA FENNICA
ENVIRONMENT: SCIENCE AND POLICY FOR SUSTAINABLE DEVELOPMENT
ENVIRONMENTAL HISTORY
ENVIRONMENTAL POLLUTION (1970)
ENVIRONMENTAL PRACTICE
ENVIRONMENTAL PROGRESS
ENVIRONMENTAL AND RESOURCE ECONOMICS
"EOS, TRANSACTIONS AMERICAN GEOPHYSICAL UNION"
ETHNOBOTANY RESEARCH AND APPLICATIONS
EVIDENCE-BASED COMPLEMENTARY AND ALTERNATIVE MEDICINE
EVOLUTION: EDUCATION AND OUTREACH
FOLIA CRYPTOGAMICA ESTONICA
FOLIA MALACOLOGICA
GAYANA. BOTÁNICA
GEOJOURNAL
GEOARCHAEOLOGY
"GEOGRAFISKA ANNALER: SERIES A, PHYSICAL GEOGRAPHY"
GLOBAL CRIME
GLOBAL ECOLOGY AND BIOGEOGRAPHY LETTERS
HILGARDIA
HUMAN ORGANIZATION
ISRN ENTOMOLOGY
ISRN ZOOLOGY
IMMUNOLOGY TODAY
INTERNATIONAL JOURNAL OF COMPARATIVE PSYCHOLOGY
INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH
INTERNATIONAL JOURNAL OF PHARMACOGNOSY
INTERNATIONAL JOURNAL OF PURE & APPLIED BIOSCIENCE
INTERNATIONAL JOURNAL OF RIVER BASIN MANAGEMENT
INTERNATIONAL JOURNAL OF ZOOLOGY
INVESTIGACIONES MARINAS
JAPCA
JAPANESE JOURNAL OF ORNITHOLOGY
JOURNAL DE PHYSIQUE IV (PROCEEDINGS)
JOURNAL OF APPLIED AQUACULTURE
JOURNAL OF COMPARATIVE AND PHYSIOLOGICAL PSYCHOLOGY
JOURNAL OF DISASTER RESEARCH
JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT
"JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH, PART C"
JOURNAL OF EXPERIMENTAL ZOOLOGY PART B: MOLECULAR AND DEVELOPMENTAL EVOLUTION
JOURNAL OF FIELD ARCHAEOLOGY
JOURNAL OF GEOGRAPHY AND GEOLOGY
JOURNAL OF GEOPHYSICAL RESEARCH: OCEANS
JOURNAL OF HAND SURGERY
JOURNAL OF INTERNATIONAL WILDLIFE LAW & POLICY
JOURNAL OF NORTH AMERICAN HERPETOLOGY
JOURNAL OF NORTH CAROLINA ACADEMY OF SCIENCE
JOURNAL OF PARASITOLOGY RESEARCH
JOURNAL OF STEROID BIOCHEMISTRY
JOURNAL OF THREATENED TAXA
JOURNAL OF THE AMERICAN COLLEGE OF NUTRITION
JOURNAL OF THE OHIO HERPETOLOGICAL SOCIETY
LAKES & RESERVOIRS: RESEARCH & MANAGEMENT
LANKESTERIANA
LATIN AMERICAN JOURNAL OF AQUATIC MAMMALS
LINDBERGIA
LUNDELLIA
MARINE BEHAVIOUR AND PHYSIOLOGY
MERGENT'S DIVIDEND ACHIEVERS
MICHIGAN ACADEMICIAN
MINERALS AND THE ENVIRONMENT
MITTEILUNGEN AUS DEM MUSEUM FÜR NATURKUNDE IN BERLIN. ZOOLOGISCHES MUSEUM UND INSTITUT FÜR SPEZIELLE ZOOLOGIE 〈BERLIN〉
MONOGRAPHIAE BOTANICAE
NATURAL RESOURCES
NATURAL SCIENCE
NEMATOLOGICA
NEOTROPICAL BIRDS
NETHERLANDS JOURNAL OF ZOOLOGY
"ORAL SURGERY, ORAL MEDICINE, ORAL PATHOLOGY"
ORNIS HUNGARICA
ORNIS SVECICA
PACIFIC CONSERVATION BIOLOGY
PACIFIC HISTORICAL REVIEW
PARASITOLOGY TODAY
"PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A: MATHEMATICAL, PHYSICAL AND ENGINEERING SCIENCES"
"PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY OF LONDON. B, BIOLOGICAL SCIENCES"
"PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY OF LONDON. SERIES B, BIOLOGICAL SCIENCES"
PHOTOGRAMMETRIC ENGINEERING & REMOTE SENSING
"PLANT CELL, TISSUE AND ORGAN CULTURE"
POLICY SCIENCES
PROCEEDINGS OF THE BOSTON SOCIETY OF NATURAL HISTORY.
PROCEEDINGS OF THE ROYAL SOCIETY OF EDINBURGH. SECTION B. BIOLOGICAL SCIENCES
PSYCHOLOGICAL REPORTS
PUBLIC HEALTH REPORTS (1896-1970)
RANGELANDS
RECHERCHES AMÉRINDIENNES AU QUÉBEC
RELATIONS INDUSTRIELLES
RENEWABLE ENERGY FOCUS
RENEWABLE AND SUSTAINABLE ENERGY REVIEWS
REVISTA BRASILEIRA DE FARMACOGNOSIA
REVISTA DE BIOLOGÍA TROPICAL
REVUE DE GÉOGRAPHIE ALPINE
REVUE DES SCIENCES DE L'EAU
REVUE INTERNATIONALE P.M.E.: ÉCONOMIE ET GESTION DE LA PETITE ET MOYENNE ENTREPRISE
SEMINARS IN AVIAN AND EXOTIC PET MEDICINE
SEXUAL PLANT REPRODUCTION
SHOKUBUTSUGAKU ZASSHI
SMITHSONIAN CONTRIBUTIONS TO BOTANY
SOCIETY & NATURAL RESOURCES
SOIL BIOLOGY AND BIOCHEMISTRY
SOIL AND TILLAGE RESEARCH
SOMMERFELTIA
SOUTH AFRICAN JOURNAL OF WILDLIFE RESEARCH
STRESS
TOPIA: CANADIAN JOURNAL OF CULTURAL STUDIES
APPEA JOURNAL
AMERICAN HISTORICAL REVIEW
GEOGRAPHICAL JOURNAL
UNIVERSITY OF KANSAS SCIENCE BULLETIN.
TRANSACTIONS OF THE AMERICAN ENTOMOLOGICAL SOCIETY AND PROCEEDINGS OF THE ENTOMOLOGICAL SECTION OF THE ACADEMY OF NATURAL SCIENCES
TRANSACTIONS OF THE LINNEAN SOCIETY OF LONDON
TÉOROS: REVUE DE RECHERCHE EN TOURISME
VETERINARY CLINICS OF NORTH AMERICA: SMALL ANIMAL PRACTICE
VIRUSES
WADER STUDY
WEBBIA
WEEDS
WESTERN BIRDS
WORLD ARCHAEOLOGY
ZEITSCHRIFT FÜR ANGEWANDTE ENTOMOLOGIE
ZEITSCHRIFT FÜR JAGDWISSENSCHAFT
ZEITSCHRIFT FÜR NATURFORSCHUNG B
ZEITSCHRIFT F�R MORPHOLOGIE UND �KOLOGIE DER TIERE
ZOOLOGIA (CURITIBA)
IFOREST - BIOGEOSCIENCES AND FORESTRY
ÉTUDES D'HISTOIRE RELIGIEUSE
